exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8
0001,0002,0003,0009,0012,no_exam,no_exam,no_exam
0080,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0073,0074,0077,0079,no_exam,no_exam,no_exam,no_exam
0080,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0066,0073,0075,0076,0081,no_exam,no_exam,no_exam
0076,0077,0080,no_exam,no_exam,no_exam,no_exam,no_exam
0073,0077,0078,0080,no_exam,no_exam,no_exam,no_exam
0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0026,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0011,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0014,0063,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0027,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0002,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0027,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0069,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0009,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0007,0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0020,0052,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0030,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0077,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0080,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0033,0075,0078,0079,no_exam,no_exam,no_exam,no_exam
0004,0019,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0002,0007,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0021,0022,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0019,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
