exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9
0077,0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0237,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0409,0410,0411,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,0213,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0014,0170,0363,0372,no_exam,no_exam,no_exam,no_exam,no_exam
0014,0363,0372,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0073,0074,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0213,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0080,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0077,0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0363,0373,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0307,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0078,0079,0374,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0072,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,0362,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0075,0213,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0458,0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0077,0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0457,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0075,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0075,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0455,0456,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0059,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0219,0372,0389,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0233,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0281,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0359,0388,0396,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0130,0135,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0204,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0410,0411,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0043,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0197,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0175,0254,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0082,0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0220,0221,0384,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0408,0410,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0381,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0237,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0135,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0390,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0411,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0038,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0221,0363,0390,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0077,0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0078,0081,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0409,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0155,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0410,0411,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,0384,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0220,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0265,0266,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0410,0411,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0220,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0220,0221,0363,0364,no_exam,no_exam,no_exam,no_exam,no_exam
0043,0044,0168,0334,0343,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0133,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0132,0133,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0213,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0202,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0426,0427,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0185,0195,0201,0202,no_exam,no_exam,no_exam,no_exam,no_exam
0300,0308,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0035,0036,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0081,0082,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0201,0203,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0038,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0068,0075,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0220,0363,0364,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0312,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0041,0179,0296,0327,no_exam,no_exam,no_exam,no_exam,no_exam
0083,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0219,0363,0375,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0431,0444,0448,0451,0452,no_exam,no_exam,no_exam,no_exam
0082,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0313,0314,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
