exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9,exam10
0453,0478,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0390,0913,2204,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0870,1161,1805,2025,2175,2180,no_exam,no_exam,no_exam,no_exam
0575,1525,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0426,0439,1688,1948,1986,no_exam,no_exam,no_exam,no_exam,no_exam
1108,1397,1672,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0389,1912,1913,1982,2319,no_exam,no_exam,no_exam,no_exam,no_exam
0160,0168,0886,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0781,0782,0784,0790,2101,no_exam,no_exam,no_exam,no_exam,no_exam
0391,1297,2093,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0104,0868,2145,2177,2178,2288,no_exam,no_exam,no_exam,no_exam
0394,0581,0582,0637,1985,no_exam,no_exam,no_exam,no_exam,no_exam
0509,0575,1359,1677,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0153,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1476,1935,2210,2218,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1724,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,0637,2069,2210,2248,no_exam,no_exam,no_exam,no_exam,no_exam
2321,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,1461,1675,2027,2036,no_exam,no_exam,no_exam,no_exam,no_exam
1122,1672,2026,2071,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0267,0273,0274,0310,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1465,2076,2098,2226,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0874,0881,1787,1794,2042,2205,no_exam,no_exam,no_exam,no_exam
0503,1062,1447,1912,2247,no_exam,no_exam,no_exam,no_exam,no_exam
0039,0057,0677,2090,2247,no_exam,no_exam,no_exam,no_exam,no_exam
0637,1295,2157,2159,2203,2316,no_exam,no_exam,no_exam,no_exam
0104,0663,1931,1990,2084,no_exam,no_exam,no_exam,no_exam,no_exam
0095,2044,2227,2398,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
2389,2392,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0429,0438,0440,1688,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0394,0581,0582,1985,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0387,0574,1686,2088,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
1754,1908,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0389,0573,1471,2088,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0662,1852,2386,2393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
