exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8,exam9,exam10,exam11
0240,0241,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0379,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0219,0384,0392,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0032,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0408,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0251,0424,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0207,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0085,0158,0172,0291,0323,0324,0361,no_exam,no_exam,no_exam,no_exam
0422,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0393,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0137,0138,0337,0360,0361,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0222,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0353,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,0464,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0013,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0042,0043,0044,0045,0046,0047,0119,0289,no_exam,no_exam,no_exam
0386,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0204,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0354,0357,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,0464,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0066,0274,0279,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0219,0384,0392,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0460,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0394,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,0158,0214,0433,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0025,0029,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0205,0346,0357,0423,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0071,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0029,0034,0351,0429,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0065,0157,0203,0425,0431,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0044,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0216,0351,0358,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0159,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
