exam1,exam2,exam3,exam4,exam5,exam6,exam7
0183,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0221,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0199,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0049,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0015,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0046,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0011,0012,0014,0074,0076,no_exam,no_exam
0247,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0121,0127,0220,0221,0253,no_exam,no_exam
0167,0251,no_exam,no_exam,no_exam,no_exam,no_exam
0099,0168,no_exam,no_exam,no_exam,no_exam,no_exam
0168,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0161,0166,0231,no_exam,no_exam,no_exam,no_exam
0129,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0029,0055,0063,0184,no_exam,no_exam,no_exam
0168,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0015,0018,no_exam,no_exam,no_exam,no_exam,no_exam
0218,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0053,0224,0232,no_exam,no_exam,no_exam,no_exam
0011,0013,0216,0220,no_exam,no_exam,no_exam
0117,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0245,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0216,0247,no_exam,no_exam,no_exam,no_exam,no_exam
0110,0111,0113,no_exam,no_exam,no_exam,no_exam
0068,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0068,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0105,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0188,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0218,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0011,0249,no_exam,no_exam,no_exam,no_exam,no_exam
0158,0211,no_exam,no_exam,no_exam,no_exam,no_exam
0190,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0164,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0105,0219,0220,no_exam,no_exam,no_exam,no_exam
0071,0215,no_exam,no_exam,no_exam,no_exam,no_exam
0008,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0073,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0230,0231,0253,no_exam,no_exam,no_exam,no_exam
0154,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0039,0119,no_exam,no_exam,no_exam,no_exam,no_exam
0078,0173,no_exam,no_exam,no_exam,no_exam,no_exam
0068,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0173,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0120,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0168,0214,no_exam,no_exam,no_exam,no_exam,no_exam
0001,0005,0007,0084,no_exam,no_exam,no_exam
0072,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0002,0004,0005,0006,0007,0084,no_exam
0046,0211,0212,no_exam,no_exam,no_exam,no_exam
0073,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0042,0046,0069,0162,0165,no_exam,no_exam
