exam1,exam2,exam3,exam4,exam5,exam6,exam7,exam8
0417,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0476,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0247,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0158,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0347,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0523,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0545,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0462,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0312,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0249,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0576,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0576,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0111,0489,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0597,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0082,0239,0249,no_exam,no_exam,no_exam,no_exam,no_exam
0535,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0349,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0347,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0316,0317,0323,no_exam,no_exam,no_exam,no_exam,no_exam
0320,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0133,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0454,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0191,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0305,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0061,0063,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0535,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0356,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0149,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0269,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0187,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0516,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0565,0569,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0183,0184,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0146,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0138,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0144,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0347,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0485,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0130,0171,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0366,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0150,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0054,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0151,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0276,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0369,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0586,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0496,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0063,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0099,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0185,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0608,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0586,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0513,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0206,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0171,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0289,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0240,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0272,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0272,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0062,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0181,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0455,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0198,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0582,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0182,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0535,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0029,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0575,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0005,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0187,0322,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0108,0111,0206,0215,no_exam,no_exam,no_exam,no_exam
0518,0519,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0608,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0580,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0131,0261,0406,no_exam,no_exam,no_exam,no_exam,no_exam
0143,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0183,0354,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0420,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0148,0151,0565,no_exam,no_exam,no_exam,no_exam,no_exam
0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0148,0155,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0261,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0181,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0349,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0111,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0184,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0482,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0580,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0443,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0247,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0606,0608,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0170,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0200,0210,0320,no_exam,no_exam,no_exam,no_exam,no_exam
0155,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0513,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0244,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0572,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0444,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0439,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0051,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0272,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0170,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0495,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0274,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0133,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0455,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0173,0267,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0446,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0158,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0240,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0003,0132,0347,no_exam,no_exam,no_exam,no_exam,no_exam
0483,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0180,0412,0426,no_exam,no_exam,no_exam,no_exam,no_exam
0160,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0576,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0140,0257,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0410,0436,0611,no_exam,no_exam,no_exam,no_exam,no_exam
0525,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0515,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0482,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0131,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0159,0183,0220,0304,no_exam,no_exam,no_exam,no_exam
0610,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,0374,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0274,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0012,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0183,0184,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0608,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0517,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0383,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0607,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0586,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0535,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0582,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0140,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0131,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0170,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0535,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0307,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0099,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0245,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0155,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0087,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0286,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0059,0491,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0331,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0597,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0452,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0111,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0280,0284,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0277,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0443,0449,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0240,0574,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0482,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0316,0323,0331,no_exam,no_exam,no_exam,no_exam,no_exam
0553,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0606,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0352,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0608,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0517,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0098,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0578,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0004,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0240,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0172,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0083,0170,0173,no_exam,no_exam,no_exam,no_exam,no_exam
0523,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0289,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0021,0513,0574,no_exam,no_exam,no_exam,no_exam,no_exam
0131,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0566,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0383,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0242,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0610,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
