exam1,exam2,exam3,exam4,exam5,exam6,exam7
0089,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0048,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0056,0060,0061,no_exam,no_exam,no_exam,no_exam
0001,0002,0003,0065,no_exam,no_exam,no_exam
0010,0047,0048,0049,0050,no_exam,no_exam
0047,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0053,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0061,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0011,0067,no_exam,no_exam,no_exam,no_exam,no_exam
0179,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0062,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0103,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0040,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0052,0062,no_exam,no_exam,no_exam,no_exam,no_exam
0137,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0061,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0154,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0152,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0061,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0053,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0070,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0008,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0045,0066,0130,0136,0140,no_exam,no_exam
0090,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0121,0122,0123,no_exam,no_exam,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0030,0149,0172,0173,0175,no_exam,no_exam
0070,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0130,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0076,0131,0141,0142,0144,no_exam,no_exam
0069,0070,0071,0072,0073,no_exam,no_exam
0047,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0013,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0009,0066,0130,no_exam,no_exam,no_exam,no_exam
0012,0130,no_exam,no_exam,no_exam,no_exam,no_exam
0114,0116,0117,0119,no_exam,no_exam,no_exam
0130,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0047,0048,0049,0050,0143,no_exam,no_exam
0049,0107,no_exam,no_exam,no_exam,no_exam,no_exam
0056,0058,0061,0062,no_exam,no_exam,no_exam
0056,0058,0061,0062,no_exam,no_exam,no_exam
0008,0013,no_exam,no_exam,no_exam,no_exam,no_exam
0136,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0130,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0130,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0064,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0067,0107,no_exam,no_exam,no_exam,no_exam,no_exam
0136,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0011,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0013,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0008,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0169,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0136,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0048,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0033,0036,no_exam,no_exam,no_exam,no_exam,no_exam
0045,0066,0104,0130,no_exam,no_exam,no_exam
0057,0061,no_exam,no_exam,no_exam,no_exam,no_exam
0076,0144,no_exam,no_exam,no_exam,no_exam,no_exam
0018,0019,0020,0021,no_exam,no_exam,no_exam
0053,0055,no_exam,no_exam,no_exam,no_exam,no_exam
0020,0132,no_exam,no_exam,no_exam,no_exam,no_exam
0070,0087,0090,0091,0099,no_exam,no_exam
0053,0055,0060,0061,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0154,0158,0162,no_exam,no_exam,no_exam,no_exam
0120,0121,0122,0123,0124,no_exam,no_exam
0129,0154,0160,no_exam,no_exam,no_exam,no_exam
0172,0176,no_exam,no_exam,no_exam,no_exam,no_exam
0056,0058,0060,no_exam,no_exam,no_exam,no_exam
0057,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0022,0023,0025,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0033,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0018,0019,0020,0021,0100,no_exam,no_exam
0018,0019,0020,0021,no_exam,no_exam,no_exam
0045,0066,0073,0130,0136,no_exam,no_exam
0149,0172,0173,0175,0177,no_exam,no_exam
0008,0107,0132,0135,no_exam,no_exam,no_exam
0056,0058,0060,no_exam,no_exam,no_exam,no_exam
0047,0048,0049,0050,no_exam,no_exam,no_exam
0145,0146,0148,0151,0161,no_exam,no_exam
0022,0023,0025,0026,0028,no_exam,no_exam
0008,0017,0067,0109,0132,no_exam,no_exam
0057,0060,0062,no_exam,no_exam,no_exam,no_exam
0118,0129,0154,0160,no_exam,no_exam,no_exam
0049,0128,no_exam,no_exam,no_exam,no_exam,no_exam
0014,0018,0019,0020,0021,no_exam,no_exam
0067,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0053,0054,0055,no_exam,no_exam
0171,no_exam,no_exam,no_exam,no_exam,no_exam,no_exam
0051,0052,0054,0055,no_exam,no_exam,no_exam
0056,0061,0062,no_exam,no_exam,no_exam,no_exam
